127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.100329
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.101231
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.119306
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.127136
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.010152
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.010136
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.116134
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.024974
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.011237
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.015619
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.037219
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.034674
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.029356
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.036791
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.029738
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.035271
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.039905
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.034246
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.033385
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.039303
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.022847
127.0.0.1, 2018-10-26 14:59:36, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.034687
